Symbol,Day1,Day2,Day3,Day4,Day5,Prediction

AAPL,0,1,1,0,1,140.860255

GOOGL,1,1,1,1,1,846.205627

INTC,0,1,1,1,1,35.269679

FB,0,1,1,1,1,140.628754

TSLA,1,0,1,1,1,265.166796

NFLX,1,0,1,1,0,143.644592

YHOO,0,0,0,0,0,46.30

AMZN,0,1,1,1,1,846.632145

MSFT,0,0,0,1,1,65.203784
